评论时间,昵称,评论内容
2020-12-10 18:02:33,Jailbreak-Z,听哭了
2020-12-10 15:33:52,JINGFFFFF,我：旭！
2020-12-10 13:57:25,语气哈一塔七,纵观文明史，他的胜利无人可及
2020-12-10 12:50:52,简单崇拜,能写出精彩的科幻小说的人都很厉害，必须得文理兼具
2020-12-10 11:12:53,上官婉儿暗恋曜,有一说一，云天明肯定不会走
2020-12-10 00:02:21,Sliwksilcvo,执剑人是权力最高的独裁者o
2020-12-10 00:01:22,Sliwksilcvo,对啊  叶文洁不发送 人类早晚也会发送的因为人类不知道黑暗森林状态
2020-12-09 23:58:30,Sliwksilcvo,打大脑或者心脏 会死的
2020-12-09 23:55:25,Sliwksilcvo,更长远点的看 还是人性
2020-12-09 23:48:51,Sliwksilcvo,我觉得没有叶文洁 人类也会发送信息的  因为人类不知道黑暗森林状态
2020-12-09 23:42:01,Sliwksilcvo,一切都将死去 唯有死神永存
2020-12-09 23:38:21,Sliwksilcvo,章北海某种程度算是野生面壁人
2020-12-09 23:33:30,言绫依是什么依一v一,不至于，真这么绝也不会还权给程心了
2020-12-09 23:30:32,Sliwksilcvo,因为我们是上帝视角呀 三体三里面有说 执剑人几乎是权力最高的独裁者了 如果你是威慑纪元的人 你会怎么想呢
2020-12-09 22:43:31,苯酚不是苯醇,萌新提问，如果执剑人是维德的话， 他会不会立马就把三体世界给灭了啊
2020-12-09 22:37:15,偷爱的恶魔,是的，书里没写，但是大刘后来解释宇宙重启失败了，归零者查后发现是程心留下的五公斤物质
2020-12-09 22:07:45,全是素质的罗非鱼,蛤
2020-12-09 19:21:12,玉棋_U7Mc,尿啊
2020-12-09 19:20:40,玉棋_U7Mc,年轻母亲:看，她是圣母玛利亚，她真的是！……美丽善良的圣母，保护这个世界吧，不要让那些野蛮的嗜血的男人毁掉这一切。
2020-12-09 19:17:23,玉棋_U7Mc,同事:这人劣迹斑斑
2020-12-09 19:16:11,玉棋_U7Mc,“这是人类的落日……”叶文洁轻轻地说
2020-12-09 19:12:36,玉棋_U7Mc,艾AA:他说得对，你没有能力做这件事，这会彻底毁了你的！但他行，这个混单、恶魔、杀人犯、野心家、政治流氓、技术狂人……他行，他有干这事的精神力量，让他去干好了，这是地狱，让他跳进去吧
2020-12-09 19:07:01,玉棋_U7Mc,章北海:逃离是事实，但我没有背叛
2020-12-09 19:05:52,Crewe_,给自己挖坟
2020-12-09 07:18:35,超高校级的骑士,汪淼呢，没他谁能最后找到ETO丁仪呢，没他太阳系舰队怎么去白给。希恩斯呢，没他怎么会有钢印族和蓝色空间银河系人类
2020-12-09 04:06:44,et小七,错啦，正因为想保护老婆孩子他才对地球有点责任，否则罗辑的人设是根本不在乎地球死活的。
2020-12-09 04:01:08,et小七,韦德最后做了无用功，拜圣母所赐。如果他杀了圣母也许可以进入榜单。
2020-12-08 23:27:52,谣年与繁星,不是，是三体人水滴一旦进攻，他会毫不犹豫的按下执剑
2020-12-08 23:24:32,谣年与繁星,罗辑和庄颜是在卢浮宫蒙娜丽莎像前在一起的
2020-12-08 17:31:46,下溪昼外,看得出来评论不少人都不仔细看书，只是听到几个厉害的词就拿来用。归零者和回归运动者是2个不同的大神文明，发送小宇宙广播的是回归运动。和归零者半毛钱没关系。归零者靠不断降维把宇宙像0点一样拨回10维。回归运动是靠宇宙大爆炸来3维直接拉回10维。好好看书，我现在看到别人归零归零就脑阔疼
2020-12-08 12:57:16,简单崇拜,有可能是上帝的别称，原始而强大
2020-12-08 00:13:32,送我dx3906,我有一个愿望让这首歌评论超过十万让更多人见识三体见识大刘这压倒一切的高深与浩渺我们中国的科幻到底哪比不过国外我相信这并不遥远
2020-12-07 22:42:00,超高校级的骑士,进化的尽头即为毁灭，人类最终为自己对黑暗森林的傲慢付出灭绝的代价
2020-12-07 20:59:05,极左青年近卫军,🍺下贱🍺
2020-12-07 20:54:00,小小小小顰兒,有什么像三体一样好看的科幻小说嘛
2020-12-07 17:01:09,alina呀_,傲慢才是生存的障碍
2020-12-07 14:21:07,莫膜哒,原来死神永生是这个意思，666
2020-12-07 01:18:53,嫦岚,引来了三体，却创造了罗辑┐(‘～`；)┌
2020-12-06 23:17:14,波渺渺柳依依2002,我以为你说是脑叶公司的那个白夜
2020-12-06 22:20:52,坐在坟头调戏女鬼2002,其实黑暗森林只是一种理论，不一定完全正确，所以这种发射信息的做法还是有可取之处的。
2020-12-06 21:24:49,啃食肯弟弟,罗辑快乐酒
2020-12-06 17:50:00,WZY8538855096753,放火烧山，牢底坐穿
2020-12-06 16:27:52,随便的希卡,圣母永生[强]
2020-12-06 14:37:59,龘靐齉爩霬鼺獿纞讍鼜,如果让林云当执剑人会咋样awa
2020-12-06 10:31:56,未闻_狐鸣,哈哈 习惯就好 评价小说都是用这种语气的
2020-12-06 09:46:21,谣年与繁星,哈哈哈哈
2020-12-06 08:54:34,普拉斯林,……我觉得你们都带着一种很奇怪的态度看三体，真的是服了。
2020-12-06 08:40:19,普拉斯林,是他自己把自己选择权交给了程心对吧？这说明了什么有几个人思考过？真的如同大家人云亦云那么说的话，他根本不需要把程心叫醒。他也不需要按照程心的想法做。
2020-12-06 08:37:47,普拉斯林,我都不关注这个人，我只看故事，反而我看完书发现大家想法还挺多
2020-12-06 08:36:20,普拉斯林,……………=_=
2020-12-06 07:39:41,心长了茧,三星系统不是所有条件都无解，三体的情况是三颗恒星质量关系满足了无解的条件。
2020-12-05 23:07:54,JINGFFFFF,黑暗森林只是费米悖论的一种解释而已，不一定为真，有可能而已。只是一种有可能的宇宙观，没必要套用到所有地方[大哭]
2020-12-05 23:03:36,JINGFFFFF,猜疑链只是针对低等级文明，黑暗森林也是，高级文明都是正面硬刚的，你像魔界文明之类，黑暗森林在大神文明面前只是小场面根本不算战争，就像大人看小孩子大家
2020-12-05 23:01:05,JINGFFFFF,你忘了叶文洁，没她就没你说的这几位什么事了[大哭]
2020-12-05 23:00:09,JINGFFFFF,真是智子小姐姐吧[奸笑]
2020-12-05 22:03:50,君--伴你万世轮回,说的真妙啊[大哭]
2020-12-05 20:43:42,某不知名面壁者,看都没看过就有资格在这误导人这是神马新式思想
2020-12-05 20:41:56,罖熀,可控核聚变已经实现，我们什么时候去太空
2020-12-05 16:25:15,雪莹雪莹雪,太好听了
2020-12-05 15:14:46,无名SoulDivinity,你看云天明的大脑在宇宙中啸得多开心
2020-12-05 12:52:56,鬼山莲泉kenny,赞同
2020-12-04 21:59:22,这昵称已被别人使用,归零者类似于宇宙秩序维护者，毕竟大神级文明，已经可以说站在宇宙文明巅峰，更多的考虑着这个宇宙未来的发展趋势而不是无休止的打架，归零者从名字可以看出他们对于维度的研究是最前列了，除非外来宇宙文明，否则自身宇宙文明是对于他们没有威胁，早就跳出黑暗森林了
2020-12-04 21:53:33,这昵称已被别人使用,文明的进化过程本就是血腥的，战争是文明加速发展的推动力。
2020-12-04 19:08:35,尘-春,“没关系的，都一样。”
2020-12-04 12:36:23,Morosainos,好棒的填词，好棒的翻唱[多多大哭]
2020-12-03 20:35:52,B战-沙某人-,那女的用冰冻的罗非鱼割掉了他老公的那个
2020-12-03 17:44:42,大毛家的水杯,啊不是，女娲设计的时候就是致敬三体，和世界观无关，可以去看当时的新英雄爆料
2020-12-03 14:31:30,Mr-Y-1,不知道你这个自杀是根据什么得出的结论，但你太小看人类了，也太高看你自己了，你说的这些明显就是对整个火种计划的否定，我只能说，章北海的计划还轮不到别人否定，因为你们的智商并不比章北海高，包括我也一样，毕竟我不可能像他一样一开始就能认知到人类败北的结局也做不到一系列计划的准备工作
2020-12-03 14:25:21,Mr-Y-1,自杀?理由是什么?他们知道自己是人类最后的希望!最后的火种!所以他们不会自杀，而是一直坚强的活下去，不断的繁衍，不断的壮大，当抵达新的星系的那一刻开始，人类将继续发展!而且虽然自然选择号和章北海化作了星辰，但蓝色空间号依然健在，并且有足够的燃料，食物，他们肯定会走完这趟20世纪的旅程
2020-12-03 14:16:22,Mr-Y-1,正义?这个世界根本就没有正义，只有对错!因为你以为你自己做的事情是正义，但在敌人看来那就是邪恶!是矛盾的!所以这个世界根本不存在所谓正义和邪恶，但是对错和真理，事实却永远存在，因为它们永不会产生矛盾!
2020-12-03 14:13:09,Mr-Y-1,还有谁告诉你不能牺牲少数人利益来换取大部分人的幸福了?那干脆保卫边疆的军人们都别干了呗，牺牲小部分换取大部分这是人类历代都在使用的方法，知道为什么吗，因为只有这个选择才能保住大部分人!否则连大部分都保不住，这个选择也是下下策!要不然谁没事闲的让自己人牺牲啊
2020-12-03 14:06:22,Mr-Y-1,???多数人和少数人的生命没有区别?那你的意思是说一个人的命就等于几十亿人的命咯?你这思想问题不小啊，已经开始藐视生命了。
2020-12-03 14:05:52,梦谷纷繁,听哭了～墨明棋妙
2020-12-03 12:56:34,月夜听风吟,降维打击
2020-12-03 07:44:02,Meexe,差不多得了，连宇宙你都能懂
2020-12-02 21:40:36,这昵称已被别人使用,你可以想象成宇宙秩序维护者
2020-12-02 21:40:33,发科233,那么现实中人类何时才能达到光速的1%
2020-12-02 17:06:21,雪莹雪莹雪,是我喜欢的三体
2020-12-02 05:00:45,暗里着迷____________,我，面壁者罗辑，向三体文明讲话！！！！！！！！
2020-12-02 04:50:32,暗里着迷____________,不会，韦德会尽一切手段掠夺三体人的技术，不给就按开关
2020-12-02 04:45:45,暗里着迷____________,叶文洁
2020-12-01 21:40:34,Drawarrior,打着三体的名字拍了一部不知所云的烂片
2020-12-01 21:34:39,默雨之泪,嗯，他是为了选一个有领导能力的新人类，这样才能更好的保留火种
2020-12-01 21:31:29,默雨之泪,章北海看火控制不住跑路了
2020-12-01 21:27:45,默雨之泪,毕竟他们贡献不是最大的[大哭]
2020-12-01 21:25:36,默雨之泪,汪淼没存在感[大哭]
2020-12-01 21:24:23,默雨之泪,程心几波操作毁掉人类，自己坐飞船跑了
2020-12-01 21:22:08,默雨之泪,叶文洁给罗辑很大帮助，但最开始也是她把人类拉下水
2020-12-01 09:58:24,沉默听歌小小佰,大史太难了[大哭]
2020-11-30 22:19:57,Judy-Brown,我只知道我们干过两件事，发射旅行者号上面有金制的光盘，记录者地球相对位置各国语言和联合国秘书长的致辞，还有二进制说明书。还发射了一串记录着人类DNA信息的无线电
